"tweet","date"
"Replying to 
@ranggadachlan","1/3/2020 00.00.00"
"ANF! ","26/2/2020 00.00.00"
"Freeman Dyson has died at 96. Dyson helped construct the standard model of particle physics, and he envisioned the Singularity decades before that term was adopted. A tribute, by 
@Horganism
.","29/2/2020 00.00.00"
"https://id.quora.com/Apa-ide-Heidegger-yang-paling-menarik/answer/Bimo-Bramantyo-2?ch=2&share=ba1a454d&srid=t2MLB…","26/2/2020 00.00.00"
"Menarik. 

Dennis Prager: Who Would You Save — Your Dog Or A Stranger? https://investors.com/politics/columnists/who-would-you-save-your-dog-or-a-stranger-dennis-prager/… via 
@IBDeditorials","26/2/2020 00.00.00"
"Jawaban untuk Mengapa dunia terasa semakin absurd semakin kita dewasa? oleh Muhammad Hafidh https://id.quora.com/Mengapa-dunia-terasa-semakin-absurd-semakin-kita-dewasa/answer/Muhammad-Hafidh-1?ch=2&share=637449f3&srid=t2MLB…","26/2/2020 00.00.00"
"Next level of patience","25/2/2020 00.00.00"
"ANF! ","26/2/2020 00.00.00"
"Freeman Dyson has died at 96. Dyson helped construct the standard model of particle physics, and he envisioned the Singularity decades before that term was adopted. A tribute, by 
@Horganism
.","29/2/2020 00.00.00"
"https://id.quora.com/Apa-ide-Heidegger-yang-paling-menarik/answer/Bimo-Bramantyo-2?ch=2&share=ba1a454d&srid=t2MLB…","26/2/2020 00.00.00"
"Menarik. 

Dennis Prager: Who Would You Save — Your Dog Or A Stranger? https://investors.com/politics/columnists/who-would-you-save-your-dog-or-a-stranger-dennis-prager/… via 
@IBDeditorials","26/2/2020 00.00.00"
"Jawaban untuk Mengapa dunia terasa semakin absurd semakin kita dewasa? oleh Muhammad Hafidh https://id.quora.com/Mengapa-dunia-terasa-semakin-absurd-semakin-kita-dewasa/answer/Muhammad-Hafidh-1?ch=2&share=637449f3&srid=t2MLB…","26/2/2020 00.00.00"
"Next level of patience","25/2/2020 00.00.00"
"Jarang - jarang berjamaah","22/2/2020 00.00.00"
"When I was in 7th grade, a teacher made a life-long impact on me in ways I wouldn't understand for a long time.

A very personal thread about compassion and computers. 

Cheers to the educators that truly care.","20/2/2020 00.00.00"
"Meanwhile, inside the box, Schrödinger's cat plans its revenge.","7/1/2020 00.00.00"
"bjirr negara kok hobi banget ngatur privacy orang","20/2/2020 00.00.00"
"Most people on review section says it has slow character development, tapi gw justru malah enjoy ama anime model begini","21/1/2020 00.00.00"
"Agak cocoklogi but interesting to do research","18/1/2020 00.00.00"
"Colonization of the Solar System.","14/1/2020 00.00.00"
"i take all the crap i've said about dubbed anime back. i love dubbed anime now","14/1/2020 00.00.00"
"I know that's plastic love ","11/1/2020 00.00.00"
"A new 
@aniplexUSA
 figure has just been added to our website!
http://rsani.me/l1zpy","11/1/2020 00.00.00"
"Future traffic jammin'.⁣","9/1/2020 00.00.00"
"NEW VIDEO: How to Escape a Super Nova: Stellar Engines","22/12/2019 00.00.00"
"I put the art in fart","9/1/2020 00.00.00"
"It was only 282 years ago that Euler presented in his textbooks the exact formula for the volume of a sphere","4/1/2020 00.00.00"
"The whole world trying to explain to Iran that we don’t like Trump either
#WWIII","3/1/2020 00.00.00"
"I'll find my way
Through night and day
'Cause I know I just can't stay
Here in heaven
Time can bring you down
Time can bend your knees
Time can break your heart
Have you begging please, begging please
Beyond the door
There's peace I'm sure
And I know there'll be no more","30/11/2019 00.00.00"
"Tears In Heaven""
Would you know my name
If I saw you in heaven?
Would it be the same
If I saw you in heaven?
I must be strong
And carry on
'Cause I know I don't belong
Here in heaven

Would you hold my hand
If I saw you in heaven?
Would you help me stand
If I saw you in heaven?","30/11/2019 00.00.00"
"Cute","30/11/2019 00.00.00"
"Thanksgiving can be super intense... remember to keep smiling and don't drink too much so you can defend yourself if things go sideways. Highest statistics of depression and the like on this and Xmas, actually. We love you and wish you peace and tranquility!","29/11/2019 00.00.00"
"Can relate","27/11/2019 00.00.00"
"What the fuck is wrong with the society

Merasakan Ikut Pesta Antar Dimensi di Banyumas https://vice.com/id_id/article/3kx9vn/merasakan-ikut-pesta-kesurupan-antar-dimensi-ebeg-di-banyumas?utm_campaign=sharebutton… via 
@vice","20/11/2019 00.00.00"
"A truly ""ilmu yang diaplikasikan""","20/11/2019 00.00.00"
"Guess i've just studied statistical mechanic lel","16/11/2019 00.00.00"
"Tears In Heaven""
Would you know my name
If I saw you in heaven?
Would it be the same
If I saw you in heaven?
I must be strong
And carry on
'Cause I know I don't belong
Here in heaven

Would you hold my hand
If I saw you in heaven?
Would you help me stand
If I saw you in heaven?","30/11/2019 00.00.00"
"Cute","30/11/2019 00.00.00"
"Thanksgiving can be super intense... remember to keep smiling and don't drink too much so you can defend yourself if things go sideways. Highest statistics of depression and the like on this and Xmas, actually. We love you and wish you peace and tranquility!","29/11/2019 00.00.00"
"Can relate","27/11/2019 00.00.00"
"What the fuck is wrong with the society

Merasakan Ikut Pesta Antar Dimensi di Banyumas https://vice.com/id_id/article/3kx9vn/merasakan-ikut-pesta-kesurupan-antar-dimensi-ebeg-di-banyumas?utm_campaign=sharebutton… via 
@vice","20/11/2019 00.00.00"
"A truly ""ilmu yang diaplikasikan""","20/11/2019 00.00.00"
"Guess i've just studied statistical mechanic lel","16/11/2019 00.00.00"
"Mantap https://twitter.com/rahadenbagas/status/1193191427699658752…","12/11/2019 00.00.00"
"A fist fight to the finish. 

: u/Light_VG","11/11/2019 00.00.00"
"Toxic in balik","26/10/2019 00.00.00"
"Heran gw lupa mulu dah perpanjang mana denda 2 minggu bjirrrrr","25/10/2019 00.00.00"
"Anjay mantep

https://giphy.com/gifs/l0ExayL8BbmqsQBY4?tc=1… via 
@giphy","25/10/2019 00.00.00"
"Bjirrr","22/10/2019 00.00.00"
"Bruh","24/9/2019 00.00.00"
"Baca ginian pas liburan gak konsisten gara gara summer sale Gaben sialan","8/7/2019 00.00.00"
"Good luck manteman ","8/7/2019 00.00.00"
"Potray my twitter's feeds nowadays","8/7/2019 00.00.00"
"Belajar mathlab ternyata sulit juga ya","6/7/2019 00.00.00"
"Bisa aja paspampres satu ini","28/6/2019 00.00.00"
"Got plans Tuesday, July 2? We're testing 
@NASA_Orion
's launch abort system to verify that the crew capsule can be steered to safety if necessary. Watch the test flight that will help pave the way for #Artemis missions to the Moon and then to Mars: https://go.nasa.gov/2Yebhj5","26/6/2019 00.00.00"
"Yea","25/6/2019 00.00.00"
"Welcome home 
@AstroAnnimal
!  See you back in Houston on Tuesday night! https://nasa.gov/live","25/6/2019 00.00.00"
"MIT memang selalu jadi idaman","25/6/2019 00.00.00"
"Konferensi Pers: Penetapan Tersangka","25/6/2019 00.00.00"
"This mission marks the first reuse of side boosters that flew on a previous Falcon Heavy mission","23/6/2019 00.00.00"
"This mission marks the first reuse of side boosters that flew on a previous Falcon Heavy mission","23/6/2019 00.00.00"
"Ultimate Waifu Shiina Mashiro 
#SakurasounoPetnaKanojo","19/6/2019 00.00.00"
"Saya melaporkan adanya Njir momen disini","31/5/2019 00.00.00"
"","23/5/2019 00.00.00"
"We are going to the Moon — to stay.

We will build sustainable infrastructure to support missions to Mars and beyond. This is what we’re building. This is what we’re training for. We are going. #Moon2024","14/5/2019 00.00.00"
"This mission marks the first reuse of side boosters that flew on a previous Falcon Heavy mission","23/6/2019 00.00.00"
"Ultimate Waifu Shiina Mashiro 
#SakurasounoPetnaKanojo","19/6/2019 00.00.00"
"Saya melaporkan adanya Njir momen disini","31/5/2019 00.00.00"
"","23/5/2019 00.00.00"
"We are going to the Moon — to stay.

We will build sustainable infrastructure to support missions to Mars and beyond. This is what we’re building. This is what we’re training for. We are going. #Moon2024","14/5/2019 00.00.00"
"This mission marks the first reuse of side boosters that flew on a previous Falcon Heavy mission","23/6/2019 00.00.00"
"Ultimate Waifu Shiina Mashiro 
#SakurasounoPetnaKanojo","19/6/2019 00.00.00"
"Saya melaporkan adanya Njir momen disini","31/5/2019 00.00.00"
"","23/5/2019 00.00.00"
"We are going to the Moon — to stay.

We will build sustainable infrastructure to support missions to Mars and beyond. This is what we’re building. This is what we’re training for. We are going. #Moon2024","14/5/2019 00.00.00"
"This mission marks the first reuse of side boosters that flew on a previous Falcon Heavy mission","23/6/2019 00.00.00"
"Ultimate Waifu Shiina Mashiro 
#SakurasounoPetnaKanojo","19/6/2019 00.00.00"
"Saya melaporkan adanya Njir momen disini","31/5/2019 00.00.00"
"","23/5/2019 00.00.00"
"We are going to the Moon — to stay.

We will build sustainable infrastructure to support missions to Mars and beyond. This is what we’re building. This is what we’re training for. We are going. #Moon2024","14/5/2019 00.00.00"
"This mission marks the first reuse of side boosters that flew on a previous Falcon Heavy mission","23/6/2019 00.00.00"
"Ultimate Waifu Shiina Mashiro 
#SakurasounoPetnaKanojo","19/6/2019 00.00.00"
"Saya melaporkan adanya Njir momen disini","31/5/2019 00.00.00"
"","23/5/2019 00.00.00"
"We are going to the Moon — to stay.

We will build sustainable infrastructure to support missions to Mars and beyond. This is what we’re building. This is what we’re training for. We are going. #Moon2024","14/5/2019 00.00.00"
"This mission marks the first reuse of side boosters that flew on a previous Falcon Heavy mission","23/6/2019 00.00.00"
"Ultimate Waifu Shiina Mashiro 
#SakurasounoPetnaKanojo","19/6/2019 00.00.00"
"Saya melaporkan adanya Njir momen disini","31/5/2019 00.00.00"
"","23/5/2019 00.00.00"
"We are going to the Moon — to stay.

We will build sustainable infrastructure to support missions to Mars and beyond. This is what we’re building. This is what we’re training for. We are going. #Moon2024","14/5/2019 00.00.00"
