"tweet","date"
"""cuma ngoding"". Kalo cuma ngoding knp TA yg bahas SVM bisa puluhan lembar dan ada di matem :')), kan katanya cuma import sklear,n import tensorflow as tf doang :'))","12/4/2022 00.00.00"
"today is the perfect day to a-nn-ounce the official release of a software library i've been working on in stealth mode this past month

panndas: neural networks in pandas

https://github.com/charlesfrye/panndas…","2/4/2022 00.00.00"
"Disini komentarnya lebih waras, daripada di portal berita yang isinya sentimen politik semua","27/3/2022 00.00.00"
"Ini bikinnya pake apa ya, cakep bener viz nya","11/3/2022 00.00.00"
"Kalo ketauan kaya gini, pasti sumber contekannya sesat, makanya yg nyontek pada ketauan  https://twitter.com/itbfess/status/1501813859614879746…","10/3/2022 00.00.00"
"6 bulan belajar matkul analisa data sama probability theory, baru bener bener paham definisi formalnya pas di akhir semester ","4/3/2022 00.00.00"
"""cuma ngoding"". Kalo cuma ngoding knp TA yg bahas SVM bisa puluhan lembar dan ada di matem :')), kan katanya cuma import sklear,n import tensorflow as tf doang :'))","12/4/2022 00.00.00"
"today is the perfect day to a-nn-ounce the official release of a software library i've been working on in stealth mode this past month

panndas: neural networks in pandas

https://github.com/charlesfrye/panndas…","2/4/2022 00.00.00"
"Disini komentarnya lebih waras, daripada di portal berita yang isinya sentimen politik semua","27/3/2022 00.00.00"
"Ini bikinnya pake apa ya, cakep bener viz nya","11/3/2022 00.00.00"
"Kalo ketauan kaya gini, pasti sumber contekannya sesat, makanya yg nyontek pada ketauan  https://twitter.com/itbfess/status/1501813859614879746…","10/3/2022 00.00.00"
"6 bulan belajar matkul analisa data sama probability theory, baru bener bener paham definisi formalnya pas di akhir semester ","4/3/2022 00.00.00"
"Kuliah jadi spesialis kok disuruh buka bisnis? LPDP buka buat MBA aja kalo gitu biar semuanya buka starap","2/3/2022 00.00.00"
"Yang salah bukan ngopi dan jalan-jalannya. 

Yang salah itu generasi di atas kita yang mengubah properti dari kebutuhan primer menjadi investasi.","20/2/2022 00.00.00"
"Imo, kalo emang matematika di sekolah mau diajarin fundamental kaya gini, kayanya kurikulum harus bisa akomodasi juga. Soalnya percuma, kalo pembelajarannya berbasis fundamental begini, tapi di sistem kurikulum matematika kita aja satu semester babnya terlalu banyak, soal (cont-)","18/2/2022 00.00.00"
"ujiannya masih modelan soal masukin rumus sama angka, buku paket dgn rumus bejibun yg sebenernya bisa cukup pake rumus dasar, dan masih lainnya. Soalnya kasian di siswanya, di satu sisi dia diajarin fundamental dengan nurunin rumus, tapi soal ujiannya nuntut dia utk ngerjain(cont","18/2/2022 00.00.00"
"satu soal 1 menit yang membuat dia mau ga mau harus hapalin rumus kompleks yang bejibun. That's my two cents sih, menurut anak pendidikan gimana nih? Wkwkw 
@berderaian","18/2/2022 00.00.00"
"Lama lama matem aktu bakal dibikin fakultas sendiri kayak biologi ","3/2/2022 00.00.00"
"Waduww spill the tea nih. Dokumen tentang keterlibatan Inggris pada tragedi 1965. Amnesty International Indonesia mendesak pak Jokowi buat ngebuka kasus 1965.

Link:
https://theguardian.com/world/2021/oct/17/slaughter-in-indonesia-britains-secret-propaganda-war…

https://cnnindonesia.com/nasional/20211021111147-12-710369/fakta-baru-dari-inggris-jokowi-didesak-buka-tragedi-1965…","23/10/2021 00.00.00"
"Ever felt like a fraud - despite knowing a ton?

Ever felt like a master - despite knowing very little? 

You're in luck - so has everyone else. 

Here's the antidote:","22/10/2021 00.00.00"
"Kasihan","22/10/2021 00.00.00"
"Kuantitas tidur normal tuh idealnya ya sekitar 7-8 jam. Tapi KAPAN WAKTU tidur juga memengaruhi kualitasnya.
""Terus klo semisal begadang nyelesain tugas/nonton film/binge watching sampai subuh, lalu lanjut tidur pagi sampai siang. Boleh ga? Toh jatah 7-8 jam terpenuhi?""

TIDAK!!!","12/10/2021 00.00.00"
"Lima hari saya pusing banget dan marah banget saat mengedit laporan ini: bagaimana polisi mengabaikan kasus kekerasan seksual yang sangat obvious ini. Terduga pelaku adalah ayahnya sendiri, ASN yang punya posisi di Luwu Timur.","6/10/2021 00.00.00"
"Ever felt like a fraud - despite knowing a ton?

Ever felt like a master - despite knowing very little? 

You're in luck - so has everyone else. 

Here's the antidote:","22/10/2021 00.00.00"
"Kasihan","22/10/2021 00.00.00"
"Kuantitas tidur normal tuh idealnya ya sekitar 7-8 jam. Tapi KAPAN WAKTU tidur juga memengaruhi kualitasnya.
""Terus klo semisal begadang nyelesain tugas/nonton film/binge watching sampai subuh, lalu lanjut tidur pagi sampai siang. Boleh ga? Toh jatah 7-8 jam terpenuhi?""

TIDAK!!!","12/10/2021 00.00.00"
"Lima hari saya pusing banget dan marah banget saat mengedit laporan ini: bagaimana polisi mengabaikan kasus kekerasan seksual yang sangat obvious ini. Terduga pelaku adalah ayahnya sendiri, ASN yang punya posisi di Luwu Timur.","6/10/2021 00.00.00"
"Saat ini sy sdg menulis surat rekom u/ mahasiswa yg melamar ke salah satu beasiswa terbaik di dunia. Sbg intelektual, mahasiswa sy ini sangat cerdas & aktif di kegiatan sosial politik. Ia jg miliki privilese sbg kebangsaan AS...","6/10/2021 00.00.00"
"Want to see the stunning Cowboy Bebop opening credit sequence?  Look no further as it just premiered at #TUDUM!","5/10/2021 00.00.00"
